프로젝트 제목,타입,금액,기간,유형,레벨,기술들,위치
Cafe24 기반 자사몰 구축,"예상 금액5,000,000원","5,000,000원",30일,,,[],서울특별시 중구
B2B 게이미케이션 대시보드 웹 디자인 및 Frontend 개발,"예상 금액5,000,000원","5,000,000원",30일,,,"['React', 'Redux', 'TypeScript']",서울특별시 강남구
집중력 관리 자습실 안드로이드앱 기획,"월 금액5,000,000","5,000,000",90일,기획,웹,['Figma · 경력 무관'],서울특별시 관악구
Golang으로 구축된 Admin 웹 클라우드 서버 배포,"예상 금액500,000원","500,000원",2일,,,"['AWS', 'Golang', 'vercel']",서울특별시 마포구
HD현대 GRC 정보시스템 Vue 프런트엔드 개발,"월 금액7,000,000","7,000,000",150일,개발,웹,[],경기도 성남시 분당구
셀레니움을 이용한 상품 등록 자동화 프로그램 개발,"예상 금액1,300,000원","1,300,000원",7일,,,['selenium'],서울특별시 서초구
Flutter 기반 모바일 앱의 디자인 보완,"예상 금액5,000,000원","5,000,000원",30일,,,[],서울특별시 강남구
교육 과외 매칭 플랫폼 구축,"예상 금액40,000,000원","40,000,000원",120일,,,"['Android', 'iOS']",서울특별시 서대문구
개발 회사 포트폴리오 디자인,"예상 금액3,000,000원","3,000,000원",30일,,,[],서울특별시 마포구
PHP 기반 렌탈 쇼핑몰 리뉴얼 개발,"예상 금액15,000,000원","15,000,000원",45일,,,[],서울특별시 서대문구
그누보드를 활용한 커뮤니티 형태 게시판 구축,"예상 금액500,000원","500,000원",2일,,,['그누보드'],서울특별시 서초구
ESP32/아두이노 센서 데이터 처리 개발,"예상 금액3,000,000원","3,000,000원",14일,,,"['ESP32', 'Ethernet', 'rs232', 'RTC', 'webserver', '아두이노IDE']",서울특별시 구로구
BT 및 WIFI 기반 장비 세팅 및 작동 앱 개발,"예상 금액3,000,000원","3,000,000원",14일,,,[],경기도 안양시 동안구
Vus.js 및 Node.js 기반 웹 프론트 및 백엔드 개발,"월 금액6,500,000","6,500,000",60일,개발,웹,[],인천광역시 부평구
악취시설 DB 및 악취 지도 Android 및 iOS 앱 구축,"예상 금액8,000,000원","8,000,000원",30일,,,"['Android', 'iOS']",서울특별시 서초구
솔루션 기반 스포츠 온라인 커머스 구축,"예상 금액15,000,000원","15,000,000원",28일,,,[],서울특별시 마포구
건설사 Oracle ERP 시스템 운영,"월 금액8,000,000","8,000,000",270일,개발,레벨 미선택,[],서울특별시 송파구
정보 조회 웹 매크로 프로그램 개발,"예상 금액1,000,000원","1,000,000원",4일,,,[],서울특별시 강남구
임베디드 리눅스 CPU 보드 개발,"예상 금액50,000,000원","50,000,000원",120일,,,[],서울특별시 강남구
자영업자 일정 관리 모임 앱 기획,"예상 금액5,000,000원","5,000,000원",30일,,,[],서울특별시 강남구
메타버스 플랫폼 웹 개발 (주 20시간),"월 금액3,000,000","3,000,000",60일,개발,웹,['React · 경력 무관'],경기도 성남시 분당구
스킨케어 제품 상세페이지 디자인,"예상 금액400,000원","400,000원",2일,,,"['Illustrator', 'Photoshop']",서울특별시 구로구
Android/Unity 연동 간 오류 수정,"예상 금액1,000,000원","1,000,000원",5일,,,"['Android', 'Unity']",서울특별시 강서구
사내 홍보 및 정보 제공형 디스플레이 UI 디자인,"예상 금액5,000,000원","5,000,000원",14일,,,[],서울특별시 양천구
대상설비 모니터링 시스템 구축,"예상 금액35,000,000원","35,000,000원",90일,,,['Windows'],경기도 안양시 만안구
위치 기반 팝업스토어 정보 지도 모바일앱 구축,"예상 금액20,000,000원","20,000,000원",60일,,,[],서울특별시 종로구
Flutter 기반 교육업체 소개 플랫폼 프런트엔드 개발,"예상 금액5,000,000원","5,000,000원",40일,,,['Flutter'],경기도 구리시
SAP BC 운영( 근무 장소 : 용산 혹은 안양 선택 가능 ),"월 금액9,000,000","9,000,000",365일,개발,레벨 미선택,[],서울특별시 용산구
입찰업체 추천 모델 개발,"예상 금액12,000,000원","12,000,000원",60일,,,['Azure'],인천광역시 연수구
.Net 기반 ERP 프로그램 유지보수,"예상 금액15,000,000원","15,000,000원",365일,,,['Windows'],부산광역시 사하구
카페24 기반 사이트 메인페이지 수정 개발,"예상 금액600,000원","600,000원",3일,,,"['CSS', 'HTML', 'JavaScript', 'PHP']",서울특별시 송파구
SK 계열사 그룹웨어 SM 업무,"월 금액6,500,000","6,500,000",180일,개발,웹,[],경기도 성남시 분당구
용달기사님 자동화 프로그램 개발,"예상 금액5,000,000원","5,000,000원",14일,,,"['Android', 'Java', 'Kotlin', 'Python']",서울특별시 금천구
온라인 JAVA/SPRING 서비스 기능 보수 개발(주 1~2회 출근/나머지 재택),"월 금액7,000,000","7,000,000",60일,개발,레벨 미선택,['Java · 경력 무관'],서울특별시 금천구
차량 관련 플랫폼 앱 서비스 구축,"예상 금액40,000,000원","40,000,000원",60일,,,[],강원도 원주시
대화형 챗봇을 활용한 산모 건강 상담 및 정보 전달 플랫폼 구축,"예상 금액500,000,000원","500,000,000원",300일,,,"['Android', 'iOS']",서울특별시 금천구
스크린샷 이미지 인식 기반 데이터 추출 백엔드 개발,"예상 금액13,500,000원","13,500,000원",50일,,,[],서울특별시 마포구
B2B 솔루션 및 랜딩 페이지 프런트엔드 개발,"월 금액6,000,000","6,000,000",90일,개발,웹,[],서울특별시 영등포구
폐기물처리설비 분야 설계,"월 금액5,000,000","5,000,000",60일,개발,기타,"['3D · 경력 무관', 'CAD · 경력 무관', 'cam · 경력 무관']",경상북도 경주시
상담멘트 재생 안드로이드 APP or H/W 개발,"예상 금액25,000,000원","25,000,000원",120일,,,[],서울특별시 용산구
외주 디자이너 매칭 플랫폼 마무리 프론트 개발,"예상 금액10,000,000원","10,000,000원",45일,,,['JavaScript'],서울특별시 용산구
외주 디자이너 매칭 플랫폼 마무리 백엔드 개발,"예상 금액10,000,000원","10,000,000원",45일,,,['Java'],서울특별시 용산구
금융사 고객 관리 앱 개발,"예상 금액50,000,000원","50,000,000원",120일,,,"['Android', 'iOS']",서울특별시 강남구
안드로이드 태블릿 앱 GUI 디자인,"예상 금액1,500,000원","1,500,000원",7일,,,[],경기도 군포시
운영 중인 ERP 내 경영 리스트 관리 메뉴 추가 개발,"예상 금액40,000,000원","40,000,000원",90일,,,['MSSQL'],서울특별시 동대문구
PC/MO 웹 기반 디자인 편집기 개발,"예상 금액10,000,000원","10,000,000원",30일,,,"['CSS', 'HTML5', 'JavaScript', 'MySQL', 'PHP']",부산광역시 강서구
React 기반 EMS 웹 프론트엔드 개발,"월 금액6,000,000","6,000,000",120일,개발,웹,"['jQuery · 경력 무관', 'React · 경력 무관']",서울특별시 강남구
카카오 기반 AS접수 및 주문 접수용 챗봇 개발,"예상 금액4,000,000원","4,000,000원",20일,,,[],경기도 하남시
