프로젝트 제목,타입,금액,기간,유형,레벨,기술들,위치
ASP.NET MVC 기반 웹 포탈 개발,"월 금액6,000,000","6,000,000",120일,프론트엔드 개발자,미드 레벨,"['ASP.NET · 경력 무관', 'MSSQL · 경력 무관', 'C# · 경력 무관']",경기도 용인시 기흥구
Tauri(Rust) 활용 파이썬 임베드 프로그램,"예상 금액6,000,000원","6,000,000원",20일,,,"['Rust', 'Tauri']",서울특별시 서초구
음성신호 처리용 NRF5340 칩 펌웨어 개발,"월 금액7,500,000","7,500,000",90일,풀스택 개발자,시니어,"['C · 10년 이상', 'Bluetooth · 8년 이상', 'C++ · 경력 무관']",서울특별시 구로구
회사 소개 사이트 내 애니메이션 추가 개발,"예상 금액2,000,000원","2,000,000원",10일,,,[],경기도 화성시
eXbuilder6로 구현된 서비스의 jsp 개발 컨설팅,"예상 금액300,000원","300,000원",1일,,,"['exBuilder6', 'JSP']",서울특별시 금천구
워드프레스 기반 웹 오류 수정 및 페이지 추가 개발,"예상 금액1,250,000원","1,250,000원",7일,,,['WordPress'],경기도 고양시 덕양구
스마트 지하수 관리시스템 구축,"예상 금액80,000,000원","80,000,000원",90일,,,[],경상북도 경산시
웹 기반 이미지 편집 툴 퀄리티 업 및 고도화,"예상 금액1,500,000원","1,500,000원",7일,,,['Vue.js'],서울특별시 중랑구
"빌링시스템 리뉴얼 간 공통, 권한관리 화면 개발","월 금액7,500,000","7,500,000",240일,프론트엔드 개발자,시니어,"['Vue.js · 경력 무관', 'Spring Boot · 경력 무관', 'Java · 경력 무관']",경기도 성남시 분당구
"빌링시스템 리뉴얼 간 공통, 권한관리 기능 개발","월 금액7,500,000","7,500,000",240일,풀스택 개발자,시니어,"['Java · 경력 무관', 'Spring Boot · 경력 무관']",경기도 성남시 분당구
데이팅 APP UI/UX 기획,"월 금액5,000,000","5,000,000",90일,UI/UX 기획자,미드 레벨,[],서울특별시 강남구
MICE 웹 플랫폼 개발,"예상 금액20,000,000원","20,000,000원",60일,,,"['GCP', 'MariaDB', 'React']",서울특별시 중구
신청/결제 프로세스 웹서비스 프런트엔드 개발,"예상 금액4,000,000원","4,000,000원",30일,,,[],경기도 안산시 단원구
카페 24 기반 입점몰 농식품바우처 PG 연동 개발,"예상 금액5,000,000원","5,000,000원",30일,,,"['MariaDB', '카페24']",경기도 광주시
코스메틱 브랜드 네이밍 및 브랜드 스토리 개발,"예상 금액350,000원","350,000원",2일,,,[],서울특별시 마포구
기존 반응형 웹 페이지 리뉴얼 디자인 및 퍼블리싱,"예상 금액4,000,000원","4,000,000원",30일,,,"['Adobe Photoshop', 'CSS', 'HTML', 'Zeplin']",서울특별시 광진구
영어 학원 소개 홈페이지 구축,"예상 금액5,000,000원","5,000,000원",30일,,,[],서울특별시 강남구
Cafe24 기반 자사몰 반응형 웹 구축,"예상 금액5,000,000원","5,000,000원",30일,,,[],서울특별시 강남구
"스탠드 조명 연동 Android, iOS 앱 프로토타입 개발","예상 금액5,000,000원","5,000,000원",30일,,,"['Android', 'iOS']",광주광역시 북구
컬러 팔레트 프로그램 설계 및 개발,"예상 금액3,000,000원","3,000,000원",30일,,,[],서울특별시 중구
안면인증 Web 솔루션 도입에 따른 개발 지원,"월 금액6,000,000","6,000,000",90일,프론트엔드 개발자,미드 레벨,"['JavaScript · 10년 이하', 'React · 10년 이하', 'Vue.js · 10년 이하', 'HTML · 10년 이하', 'CSS · 10년 이하']",경기도 성남시 분당구
스테레오비전 기반 실시간 3D 재구성이 가능한 3D 스캐너 하드웨어 및 펌웨어 구축,"예상 금액70,000,000원","70,000,000원",90일,,,[],경기도 화성시
HTML/PPT 매뉴얼 관련 작업,"월 금액3,000,000","3,000,000",30일,퍼블리셔,주니어,"['HTML · 2년 이하', 'PowerPoint · 2년 이하']",서울특별시 서초구
PHP 기반 쇼핑몰 어드민 파트 Frontend 및 Backend 개발,"월 금액5,000,000","5,000,000",180일,풀스택 개발자,미드 레벨,"['PHP · 경력 무관', 'HTML5 · 경력 무관', 'CSS · 경력 무관', 'MySQL · 경력 무관', 'JavaScript · 경력 무관']",서울특별시 서초구
FCM HTTP v1 기반 Windows용 콘솔 개발,"예상 금액300,000원","300,000원",1일,,,[],서울특별시 금천구
병원  엑스선 촬영 대기 환자 안내 및 호출 시스템,"예상 금액12,000,000원","12,000,000원",50일,,,[],경기도 부천시 원미구
도서 인식 및 이미지 전처리 기술,"예상 금액10,000,000원","10,000,000원",60일,,,[],서울특별시 강남구
차량 내 HMI 3D 모션그래픽 디자인,"월 금액5,000,000","5,000,000",90일,그래픽 디자이너,미드 레벨,"['Adobe Photoshop · 경력 무관', 'AfterEffect · 경력 무관']",서울특별시 서초구
홈페이지 개발 언어 컨버팅 및 기능 추가 구축,"예상 금액25,000,000원","25,000,000원",60일,,,"['ASP', 'CSS', 'HTML', 'JavaScript', 'JSP', 'Linux', 'MSSQL', 'MySQL', 'Spring Boot', 'Tomcat']",서울특별시 중구
MSA 기반 클라우드 엔지니어 구인,"월 금액6,000,000","6,000,000",90일,클라우드 엔지니어,미드 레벨,"['msa · 경력 무관', 'ncp · 경력 무관']",서울특별시 강남구
Flutter 기반 앱 유지보수,"월 금액5,000,000","5,000,000",90일,프론트엔드 개발자,미드 레벨,"['Flutter · 경력 무관', 'Android · 경력 무관', 'iOS · 경력 무관', 'Git · 경력 무관']",서울특별시 강남구
약사-환자 SaaS 서비스 PM 구인,"월 금액4,800,000","4,800,000",90일,PM (프로덕트 매니저),미드 레벨,[],서울특별시 강남구
소스 코드 검토 및 DB 라벨링,"예상 금액1,250,000원","1,250,000원",7일,,,['PHP'],경상남도 김해시
iOS 혹은 PC 기반 초음파 영상 GUI 프로토타입 개발,"예상 금액15,000,000원","15,000,000원",60일,,,[],경상남도 양산시
반도체 장비 응용 프로그램 수정 개발,"예상 금액7,000,000원","7,000,000원",40일,,,"['MySQL', 'VisualBasic']",경기도 화성시
골프 연습 데이터 및 영상 재생 가능한 앱 구축,"예상 금액20,000,000원","20,000,000원",60일,,,"['Android', 'Firebase', 'Flutter', 'iOS']",경기도 과천시
심리치료 Android 및 iOS 앱 관리자 웹 구축,"예상 금액15,000,000원","15,000,000원",45일,,,[],충청북도 음성군
Cloud 법무지원 SaaS 커스텀 전개(전원 상주 필요),"예상 금액180,000,000원","180,000,000원",180일,,,"['Django', 'jQuery', 'phyton', 'PostgreSQL', 'React']",서울특별시 성동구
현장 데이터 수집/이력 관리 시스템(웹) JAVA 풀스텍 개발,"월 금액6,000,000","6,000,000",90일,풀스택 개발자,미드 레벨,"['Java · 경력 무관', 'jspeed · 경력 무관', 'Oracle · 경력 무관']",충청남도 당진시
Java or Python 백엔드 개발자 구인,"월 금액7,000,000","7,000,000",105일,백엔드 개발자,미드 레벨 외 1개,"['Java · 3년 이상', 'spring framework · 3년 이상', 'Python · 3년 이상', 'fastapi · 3년 이상']",경기도 성남시 분당구
Windows 기반 특정 파티션 복구 프로그램 개발,"예상 금액8,000,000원","8,000,000원",45일,,,"['C#', 'C++', 'Windows API']",대구광역시 수성구
반려동물 관련 SNS 기획 및 디자인,"예상 금액8,000,000원","8,000,000원",60일,,,['Figma'],서울특별시 마포구
외부 인력(온라인 시험감독관) 및 일정 관리 서비스,"예상 금액50,000,000원","50,000,000원",90일,,,"['Docker', 'Flask', 'Git', 'PostgreSQL', 'Python Django', 'React', 'Ruby on Rails']",서울특별시 강동구
납품 현황 관리 및 단계별 업무 처리 웹 시스템(나라장터 스크래핑 포함),"예상 금액50,000,000원","50,000,000원",120일,,,[],대구광역시 수성구
글로벌 암호화폐 거래소 flutter 앱 개발,"월 금액7,000,000","7,000,000",60일,모바일 앱 개발자,시니어 외 1개,['Flutter · 경력 무관'],서울특별시 강남구
"Three.js 및  AudioWorklet, Webworker 사용 XR 웹 개발","예상 금액8,000,000원","8,000,000원",45일,,,"['AudioWorklet', 'three.js', 'WebGL', 'WebSocket', 'WebWorker']",경상남도 창원시
운영 중인 하이브리드 앱의 네이티브 전환 개발,"월 금액8,000,000","8,000,000",180일,Android 개발자,미드 레벨,['Android · 4년 이상'],서울특별시 강동구
로봇 관제 시스템 통신 및 Android 앱 개발,"예상 금액25,000,000원","25,000,000원",60일,,,"['Python', 'RaspberryPi']",경기도 부천시 소사구
라즈베리파이 기반 로봇 관제 시스템 개발,"월 금액6,500,000","6,500,000",90일,풀스택 개발자,미드 레벨,"['RaspberryPi · 경력 무관', 'Python · 경력 무관']",경기도 부천시 소사구
Next.js 기반 AI 챗봇 시스템 Frontend 개발,"월 금액4,000,000","4,000,000",60일,프론트엔드 개발자,주니어,"['next.js · 2년 이상', 'TailwindCSS · 2년 이상']",경기도 성남시 분당구
Unity 기반 게임 컨텐츠 고도화 디자인/개발,"예상 금액30,000,000원","30,000,000원",30일,,,"['Android', 'Unity']",경기도 성남시 수정구
원천징수영수증 관련 자동화 개발,"예상 금액5,000,000원","5,000,000원",30일,,,"['Java', 'MSSQL']",경기도 성남시 중원구
공공SI 웹 Frontend 개발,"월 금액6,500,000","6,500,000",60일,프론트엔드 개발자,미드 레벨,"['jQuery · 경력 무관', 'chart.js · 경력 무관', 'JavaScript · 경력 무관']",서울특별시 구로구
Flutter 기반 공공 SI 앱 개발,"월 금액6,500,000","6,500,000",60일,모바일 앱 개발자,미드 레벨,"['jQuery · 경력 무관', 'JavaScript · 경력 무관', 'Flutter · 경력 무관']",서울특별시 구로구
쇼핑몰 웹앱 PG결제 연동 개발,"예상 금액3,000,000원","3,000,000원",21일,,,"['Flutter', 'PHP']",서울특별시 성동구
브랜드 쇼핑몰 입점몰 반응형 웹 및 앱 구축,"예상 금액40,000,000원","40,000,000원",100일,,,"['Android', 'iOS']",서울특별시 영등포구
ROS 기반 C++ 개발,"월 금액6,000,000","6,000,000",180일,풀스택 개발자,미드 레벨,"['ros · 3년 이상', '리눅스 · 3년 이상', 'C++ · 3년 이상']",대전광역시 유성구
Next.js/React.js/Java/SpringBoot ERP 구축 및 개발,"월 금액8,000,000","8,000,000",150일,풀스택 개발자,시니어,"['next.js · 3년 이상', 'React · 3년 이상', 'Java · 3년 이상', 'Spring Boot · 3년 이상']",서울특별시 서초구
이미지 판독 및 저장 기술 개발,"예상 금액15,000,000원","15,000,000원",60일,,,[],서울특별시 강남구
보이스 클론 개발,"예상 금액15,000,000원","15,000,000원",60일,,,"['Android', 'iOS']",서울특별시 강남구
"React 기반 서비스 오류 수정/추가 개발/유지 보수(일 3시간, 재택 근무)","월 금액2,300,000","2,300,000",90일,풀스택 개발자,시니어,"['React · 5년 이상', 'AWS · 5년 이상', 'TypeScript · 5년 이상', 'IntelliJ · 5년 이상', 'Node.js · 5년 이상', 'VSCode · 5년 이상']",
포토부스 키오스크 소프트웨어 개발,"월 금액7,500,000","7,500,000",60일,풀스택 개발자,시니어 외 1개,['Flutter · 경력 무관'],서울특별시 마포구
[QA엔지니어] Web/App 서비스 QA,"월 금액3,000,000","3,000,000",90일,QA 엔지니어,주니어,"['Jira/Confluence · 1년 이상', 'Excel · 1년 이상']",서울특별시 서초구
오프라인 지점 이용 티켓 판매 및 포인트 리워드 앱 구축,"예상 금액20,000,000원","20,000,000원",75일,,,"['Android', 'iOS']",서울특별시 구로구
개발 중인 웹 Frontend 개발,"월 금액4,500,000","4,500,000",120일,프론트엔드 개발자,미드 레벨,"['JavaScript · 3년 이하', 'HTML · 3년 이하', 'CSS · 3년 이하', 'jQuery · 3년 이하', 'Bootstrap · 3년 이하']",서울특별시 강남구
python/django 웹사이트 에러 대응 유지 관리,"예상 금액3,600,000원","3,600,000원",365일,,,"['Django', 'Python']",서울특별시 도봉구
ERP 내 회계파트 구축을 위한 컨설팅 및 개발,"예상 금액50,000,000원","50,000,000원",150일,,,"['CSS', 'HTML', 'jQuery', 'MariaDB', 'PHP']",서울특별시 구로구
서비스 소개 및 상담 신청용 반응형 웹 구축,"예상 금액2,500,000원","2,500,000원",30일,,,"['Java', 'javscript', 'React', 'React Native']",경기도 수원시 영통구
운영 중인 홈페이지의 리뉴얼 구축,"예상 금액30,000,000원","30,000,000원",180일,,,[],경기도 수원시 팔달구
헬스케어 소개 반응형 웹 디자인 리뉴얼,"예상 금액2,000,000원","2,000,000원",14일,,,[],서울특별시 서대문구
그룹 수업 관련 정보 노출 및 접수 기능 구축,"예상 금액7,000,000원","7,000,000원",40일,,,[],서울특별시 강남구
가상화폐 자동 매매 프로그램 설계 및 개발,"예상 금액5,000,000원","5,000,000원",30일,,,[],해외 해외
거래소 소개 및 홍보 웹 Frontend 개발,"월 금액6,900,000","6,900,000",30일,프론트엔드 개발자,미드 레벨,"['TailwindCSS · 경력 무관', 'CSS · 경력 무관', 'NextJS · 경력 무관', 'React · 경력 무관', 'TypeScript · 경력 무관']",서울특별시 강남구
WebRTC JS code 수정 개발,"예상 금액2,000,000원","2,000,000원",7일,,,"['JavaScript', 'Socket Programming', 'socket.io-client', 'socket통신', 'webrtc프로그래밍']",경기도 용인시 기흥구
블루투스 연동 통역기 앱 런칭 전 마무리 개발 및 이후 유지보수( 주 20시간 근무 ),"월 금액2,500,000","2,500,000",90일,모바일 앱 개발자,미드 레벨,"['Android · 경력 무관', 'BLE · 경력 무관', 'Flutter · 경력 무관']",서울특별시 서초구
잠금화면 Lock Screen 앱 오류 수정 및 유지보수 개발,"예상 금액1,000,000원","1,000,000원",4일,,,"['Android', 'Java']",경기도 성남시 분당구
전기 CAD 견적 및 설계를 위한 프로그램 설계 및 개발,"예상 금액6,000,000원","6,000,000원",30일,,,[],광주광역시 광산구
자사 ERP 연동 가능한 POS 시스템 개발,"예상 금액100,000,000원","100,000,000원",150일,,,[],서울특별시 마포구
유니티 3D운전교육게임 개발,"예상 금액4,500,000원","4,500,000원",30일,,,['Unity'],서울특별시 마포구
공공과제 웹사이트 구축 간 모의해킹,"예상 금액1,500,000원","1,500,000원",14일,,,[],대전광역시 서구
.Net 기반 백엔드 시스템 구축 및 운영,"월 금액7,500,000","7,500,000",150일,백엔드 개발자,시니어,"['.Net · 경력 무관', 'orm · 경력 무관', 'C# · 경력 무관', 'MSSQL · 경력 무관']",서울특별시 영등포구
웹 기반 자동입찰/부정클릭 개발,"예상 금액10,000,000원","10,000,000원",60일,,,[],경기도 수원시 권선구
거래소 수수료 환급 플랫폼 MVP 구축,"예상 금액20,000,000원","20,000,000원",60일,,,"['Express', 'JavaScript', 'MariaDB', 'MongoDB', 'Node.js', 'React']",서울특별시 마포구
상세페이지에서 썸네일로 사용할 이미지를 추출하는 프로그램,"예상 금액15,000,000원","15,000,000원",60일,,,[],경기도 고양시 일산서구
설문 조사 폼 제작 및 설문 진행/커뮤니티 반응형 웹 구축,"예상 금액60,000,000원","60,000,000원",180일,,,"['JavaScript', 'React', 'TypeScript']",서울특별시 종로구
프린트 프로그램 추가 기능 개발에 대한 가이드 및 자문,"예상 금액250,000원","250,000원",1일,,,['Flutter'],서울특별시 서초구
학습 사이트 웹 디자인,"예상 금액8,000,000원","8,000,000원",30일,,,['Figma'],서울특별시 강남구
시니어 매칭 웹 개발,"예상 금액10,000,000원","10,000,000원",30일,,,[],서울특별시 강남구
N은행 슈퍼플랫폼 구축,"월 금액6,500,000","6,500,000",120일,풀스택 개발자,미드 레벨,"['Java · 5년 이상', 'JavaScript · 5년 이상']",경기도 의왕시
독서실 프렌차이즈 홈페이지 디자인 및 퍼블리싱,"예상 금액2,000,000원","2,000,000원",14일,,,"['Adobe Illustrator', 'Adobe Photoshop', 'CSS', 'HTML', 'JavaScript']",서울특별시 성동구
AI 챗봇 및 콜봇을 활용한 서비스 기획,"월 금액5,000,000","5,000,000",60일,서비스 기획자,미드 레벨,"['PowerPoint · 경력 무관', 'Excel · 경력 무관', 'Word · 경력 무관']",서울특별시 강남구
"교재 검색용 웹 디자인, 개발","예상 금액1,000,000원","1,000,000원",10일,,,[],경기도 성남시 수정구
고도몰 기반 숏폼 및 쇼핑 서비스 리뉴얼 개발,"예상 금액5,000,000원","5,000,000원",30일,,,"['PHP', '고도몰']",서울특별시 마포구
기존 웹소설 연재 플랫폼의 고도화 및 전면 리뉴얼,"월 금액6,250,000","6,250,000",90일,백엔드 개발자,미드 레벨,"['Python · 경력 무관', 'Django · 경력 무관', 'Flask · 경력 무관', 'Java · 경력 무관', 'Spring · 경력 무관', 'Spring Boot · 경력 무관']",경기도 용인시 기흥구
Cafe24 기반 리조트 소개 반응형 웹 리뉴얼 디자인 및 개발,"예상 금액2,000,000원","2,000,000원",10일,,,['Cafe24'],서울특별시 강남구
"React  프론트엔드 개발(재택 근무, 주 2회 오프라인 미팅)","월 금액5,000,000","5,000,000",60일,프론트엔드 개발자,미드 레벨,"['React · 7년 이하', 'Node.js · 7년 이하', 'JavaScript · 5년 이하', 'Nginx · 5년 이하', 'Docker · 5년 이하', 'MongoDB · 5년 이하', 'PostgreSQL · 5년 이하', 'query · 5년 이하']",
워드프레스 기반 사이트 유지보수,"예상 금액1,500,000원","1,500,000원",7일,,,[],서울특별시 서초구
도광판 패턴 배치 설계 프로그램 개발,"예상 금액10,000,000원","10,000,000원",30일,,,[],대전광역시 유성구
교육 사이트 개편 마무리 Frontend 및 Backend 개발(재택 근무),"월 금액4,500,000","4,500,000",30일,풀스택 개발자,미드 레벨,"['Laravel · 경력 무관', 'PHP · 경력 무관']",
기존 소스 기반 임베디드 NVR SW 개발(Hi3536A),"예상 금액20,000,000원","20,000,000원",60일,,,[],서울특별시 금천구
헬스케어 EAP 서비스 DevOps,"월 금액7,500,000","7,500,000",90일,DevOps 엔지니어,미드 레벨,"['GCP CodeBuild · 경력 무관', 'argocd · 경력 무관', 'Kubernetes · 경력 무관', 'Istio · 경력 무관']",서울특별시 강남구
헬스케어 EAP 서비스 데이터 엔지니어,"월 금액7,500,000","7,500,000",90일,데이터 엔지니어,미드 레벨,"['bigquery · 경력 무관', 'Protocol Buffer · 경력 무관', 'Kotlin · 경력 무관', 'vert.x · 경력 무관', 'Gradle · 경력 무관', 'Apache Beam · 경력 무관', 'Dataflow · 경력 무관']",서울특별시 강남구
의료영상 분석 웹서비스 프론트 React 개발,"월 금액7,000,000","7,000,000",360일,프론트엔드 개발자,미드 레벨,[],서울특별시 서초구
회계 감사 서류 공유 및 진도율 시스템 웹 구축,"예상 금액5,000,000원","5,000,000원",30일,,,[],부산광역시 동구
감성 카메라 필터 Android 및 iOS 앱 개발,"예상 금액20,000,000원","20,000,000원",60일,,,"['Android', 'iOS']",서울특별시 마포구
삼성 반도체 건설 안전 관리 회사 웹사이트 구축,"예상 금액4,000,000원","4,000,000원",30일,,,[],서울특별시 강남구
전자책 서비스 플랫폼 구축간 기획 및 진행 관리(PM 업무),"예상 금액7,000,000원","7,000,000원",60일,,,[],서울특별시 종로구
무게 측정 IoT HW 시제품 제작,"예상 금액8,000,000원","8,000,000원",40일,,,"['PCB', '회로설계']",경기도 시흥시
PDF 텍스트 추출 프로그램 개발,"예상 금액1,500,000원","1,500,000원",10일,,,[],서울특별시 강서구
이미지/영상 기반 불량 분석 AI 개발,"예상 금액30,000,000원","30,000,000원",75일,,,"['cnn', 'CNN 알고리즘']",서울특별시 마포구
HTML 계산기 웹페이지 디자인 및 퍼블리싱,"예상 금액300,000원","300,000원",2일,,,"['CSS', 'HTML']",서울특별시 용산구
DB 수집 프로그램 유지보수 및 판매 웹 리뉴얼 개발,"예상 금액5,000,000원","5,000,000원",30일,,,"['C#', 'MSSQL', 'WordPress']",서울특별시 강남구
보안 컨텐츠 관리 플랫폼 백엔드 기능 추가(상주 근무 필수),"예상 금액15,000,000원","15,000,000원",90일,,,"['gitlab', 'jdk', 'Jenkins', 'MyBatis', 'React', 'Spring Boot']",서울특별시 서초구
상품권 구입/매입 사이트 구축,"예상 금액12,000,000원","12,000,000원",50일,,,[],서울특별시 중랑구
캐드 도면 및 좌표 데이터 기반 GUI 출력 프로그램 설계 및 개발,"예상 금액5,000,000원","5,000,000원",30일,,,['Python'],경상북도 김천시
MSA 기반 Java/Spring Boot/PostgreSQL/Redis 백엔드 개발,"월 금액6,000,000","6,000,000",90일,백엔드 개발자,미드 레벨,"['Spring Boot · 3년 이상', 'PostgreSQL · 3년 이상', 'Redis · 3년 이상', 'Java · 3년 이상']",서울특별시 강남구
MSSQL 기반 골프매장관리 유지보수 및 고도화 DB설계/개발,"월 금액6,500,000","6,500,000",180일,DBA,미드 레벨,['MSSQL · 경력 무관'],경기도 성남시 분당구
PHP 기반 골프매장관리 유지보수 및 고도화 API 개발,"월 금액6,500,000","6,500,000",180일,백엔드 개발자,미드 레벨,['PHP · 경력 무관'],경기도 성남시 분당구
AOS 기반 멘탈 검사 앱 및 어드민 웹 개발,"예상 금액15,000,000원","15,000,000원",60일,,,"['Android', 'AWS', 'Docker', 'Firebase', 'Java', 'Kotlin', 'MariaDB', 'S3']",서울특별시 송파구
LG전자 EDI 모듈 백엔드 개발,"월 금액6,500,000","6,500,000",105일,백엔드 개발자,미드 레벨,"['MariaDB · 경력 무관', 'Java · 경력 무관', 'Spring · 경력 무관', 'PL/SQL · 경력 무관']",서울특별시 강서구
Jetson을 이용한 라이다/ROS2 및 오픈소스 포팅 및 교육,"예상 금액3,000,000원","3,000,000원",14일,,,[],경기도 파주시
승강기 도면 자동 생성 LISP 프로그램 개발,"예상 금액15,000,000원","15,000,000원",60일,,,['lisp'],인천광역시 연수구
공간 안내 서비스 모바일 웹 홈 화면 리뉴얼,"예상 금액900,000원","900,000원",10일,,,"['CSS', 'HTML', 'JavaScript']",서울특별시 성북구
Supabase 를 이용하여 백엔드 기능 개발,"예상 금액1,000,000원","1,000,000원",5일,,,['supabase'],서울특별시 용산구
매물 관리 서비스 UI/UX 기획 및 디자인,"월 금액5,000,000","5,000,000",30일,UI/UX 기획자,미드 레벨,['Figma · 경력 무관'],서울특별시 마포구
Matlab 코드를 Python으로 변환 및 수식 작성,"예상 금액2,000,000원","2,000,000원",10일,,,"['MATLAB', 'Python']",경기도 수원시 영통구
"베트남 노래자랑 웹사이트 기획, 디자인","예상 금액10,000,000원","10,000,000원",30일,,,[],서울특별시 강남구
공공웹서비스 구조전환(클라우드) 고도화,"월 금액6,500,000","6,500,000",120일,풀스택 개발자,미드 레벨,"['Java · 경력 무관', 'Vue.js · 경력 무관']",대구광역시 동구
업무 관리 및 임대 관리 프로그램 마무리 개발,"월 금액6,000,000","6,000,000",60일,풀스택 개발자,미드 레벨,"['React · 경력 무관', 'JavaScript · 경력 무관', 'Node.js · 경력 무관', 'Active Report JS · 경력 무관', 'Linux · 경력 무관', 'Express · 경력 무관', 'MySQL · 경력 무관', 'GitHub · 경력 무관']",전라북도 익산시
엘지유플러스 통화 녹취 프로그램 개발,"예상 금액10,000,000원","10,000,000원",40일,,,[],서울특별시 강남구
B2B 반도체 솔루션 기업 소개 홈페이지 구축,"예상 금액5,000,000원","5,000,000원",40일,,,[],경기도 화성시
V0.dev로 제작된 페이지 Backend 연동,"예상 금액200,000원","200,000원",1일,,,"['AWS', 'V0.dev']",서울특별시 성동구
현장 점검 사항 입력 및 관리용 Android 앱 개발,"예상 금액4,000,000원","4,000,000원",30일,,,[],인천광역시 서구
"영단어 테스트지 인쇄 프로그램 디자인, 개발","예상 금액50,000,000원","50,000,000원",90일,,,"['MySQL', 'Node.js', 'React']",서울특별시 강남구
"카쉐어링, 차량 관제 및 운행 기록 관리 백엔드 운영 및 개발","월 금액8,000,000","8,000,000",120일,백엔드 개발자,테크 리드,"['Java · 경력 무관', 'MySQL · 경력 무관', 'GraphQL · 경력 무관', 'Spring Boot · 경력 무관']",서울특별시 종로구
AI를 활용한 챗봇 시스템 설계 및 개발,"예상 금액5,000,000원","5,000,000원",30일,,,"['AWS', 'next.js', 'PlanetScale', 'prisma', 'React', 'vercel']",서울특별시 성북구
여행 관련 서비스 UI/UX 설계 및 디자인,"월 금액3,500,000","3,500,000",60일,UI/UX 디자이너,미드 레벨,[],경기도 성남시 분당구
인사평가와 추천서를 이용한 인재 채용 반응형 웹 및 패키징 앱 개발,"예상 금액15,000,000원","15,000,000원",60일,,,"['AWS', 'CSS', 'HTML', 'Node.js', 'React']",서울특별시 구로구
키오스크 시스템 화면설계 및 디자인 및 UI 개발,"예상 금액15,000,000원","15,000,000원",60일,,,['Flutter'],서울특별시 금천구
Cortex-M4 기반 PWM 제어 펌웨어 개발(CAN 통신),"월 금액7,500,000","7,500,000",360일,풀스택 개발자,시니어,"['C++ · 경력 무관', 'C · 경력 무관']",경기도 성남시 분당구
Cortex-M4 기반 PWM 제어 회로 설계,"월 금액7,500,000","7,500,000",360일,PM (프로젝트 매니저),시니어,['OrCAD · 경력 무관'],경기도 성남시 분당구
C#/윈폼 세금계산 프로그램 디자인 및 퍼블리싱,"예상 금액1,000,000원","1,000,000원",7일,,,['C#'],서울특별시 중구
워드프레스 웹사이트 내 셀프 견적  기능 개발,"예상 금액1,500,000원","1,500,000원",10일,,,[],부산광역시 북구
장비 데이터 블루투스 통신 안드로이드/iOS 앱 디자인/개발,"예상 금액4,500,000원","4,500,000원",20일,,,[],서울특별시 강남구
스마트 인프라 모니터링 플랫폼 UX/UI 디자인(주4일 재택 가능),"월 금액5,500,000","5,500,000",60일,UI/UX 디자이너,미드 레벨,['Figma · 2~11년'],경기도 성남시 수정구
단기임대업 관련 중개 플랫폼 웹 및 앱 마무리 개발,"예상 금액10,000,000원","10,000,000원",60일,,,"['Android', 'AWS', 'CSS', 'Flutter', 'HTML', 'iOS', 'JavaScript', 'Kotlin', 'MySQL', 'PHP']",서울특별시 강남구
멀티 오토클리커 커스텀 개발,"예상 금액800,000원","800,000원",10일,,,[],경기도 시흥시
웹 기반 ERP 시스템 기획 및 디자인,"월 금액6,000,000","6,000,000",120일,UI/UX 기획자,미드 레벨,"['Figma · 경력 무관', 'Excel · 경력 무관', 'PowerPoint · 경력 무관']",경기도 수원시 권선구
특정 장소/주제에 대한 글을 게시 SNS 인문학 플랫폼,"예상 금액26,000,000원","26,000,000원",80일,,,"['Android', 'iOS']",서울특별시 서초구
공공 DB포털 API활용한 신규통신판매업 수집 컨설팅,"예상 금액2,000,000원","2,000,000원",10일,,,[],경상남도 진주시
사진 촬영/인화 Windows 프로그램 기능 추가 및 개선 개발,"예상 금액4,000,000원","4,000,000원",21일,,,"['C#', '.Net', 'WPF']",서울특별시 강동구
비대면 중개 서비스 웹 리뉴얼 디자인 및 개발,"예상 금액6,000,000원","6,000,000원",30일,,,"['PHP', '가비아', '그누보드', '영카트']",서울특별시 성동구
CRM 툴 기능 고도화(설문 조사) 기획 및 디자인,"예상 금액5,000,000원","5,000,000원",30일,,,[],서울특별시 강남구
UI Selector 구현 Python 개발 경력자 모집,"월 금액5,500,000","5,500,000",150일,프론트엔드 개발자,미드 레벨,['Python · 4년 이상'],서울특별시 강서구
RPA 개발 툴 업그레이드 C# 개발 경력자 모집,"월 금액7,000,000","7,000,000",150일,풀스택 개발자,미드 레벨,"['C# · 5년 이상', 'Python · 1년 이상', 'DevExpress · 5년 이상', 'winform · 5년 이상']",서울특별시 강서구
피트니스 센터의 랜딩 페이지 제작,"예상 금액2,000,000원","2,000,000원",20일,,,[],서울특별시 강북구
포인트 기반의 콘텐츠 플랫폼 모바일 웹 구축,"예상 금액6,000,000원","6,000,000원",30일,,,[],서울특별시 강남구
"자소서 피드백, 질문 제작 머신러닝 프로그램 구축","예상 금액20,000,000원","20,000,000원",60일,,,[],서울특별시 양천구
라즈베리파이 기반 IoT 기기 c++ 임베디드 개발,"예상 금액6,000,000원","6,000,000원",60일,,,"['C++', 'GitHub']",서울특별시 서초구
촬영 데이터용 소스 및 레이아웃 디자인,"예상 금액1,000,000원","1,000,000원",7일,,,"['Adobe Illustrator', 'Adobe Photoshop']",서울특별시 강남구
